time_jst,ssr,station,squawk,pressure_alt_ft,lat,lon,alt_m,azimuth_rad,tau_ns,replies,sigma_e_m,sigma_n_m,sigma_u_m,track,flight,status,sm_lat,sm_lon,sm_alt_m,sm_sigma_e_m,sm_sigma_n_m,sm_sigma_u_m,vel_e_mps,vel_n_mps,vel_u_mps,turn_rate_dps
2026-06-10T00:00:52.498542200,KX90S,KX90,6141,32000,34.7115653,136.6343827,9753.600,3.978750627,169578,23,65.4,68.4,8.8,8,8,ok,34.7117354,136.6343510,9753.573,31.6,29.0,4.3,73.2,-195.6,-0.28,0.06
2026-06-10T00:00:52.678480600,KX90S,KX90,3650,3800,34.8275662,136.7637153,1158.240,4.258787432,41524,21,43.5,27.6,8.8,9,9,ok,34.8275805,136.7638024,1159.888,21.5,15.0,4.3,60.0,-80.7,8.32,-0.15
2026-06-10T00:00:53.407083550,KX90S,KX90,3245,34000,35.1409839,136.3828632,10363.200,5.392708380,348625,20,118.6,142.6,8.8,2,2,ok,35.1399867,136.3818415,10363.181,50.8,55.3,4.3,75.8,-176.0,1.37,-0.07
2026-06-10T00:00:53.800883150,KX90S,KX90,3626,30000,36.1389645,136.3679458,9144.000,6.005489360,994214,7,4041.9,1153.0,8.8,20,20,unconfirmed,,,,,,,,,,
2026-06-10T00:00:55.410004300,KX90S,KX90,3534,7100,34.5346376,137.3160065,2164.080,2.226179455,390005,19,127.3,161.1,8.8,4,4,ok,34.5353372,137.3168866,2163.731,47.9,63.3,4.3,-127.2,56.6,-5.05,-0.05
2026-06-10T00:00:55.486699300,KX90S,KX90,6250,4700,34.6222138,137.1027530,1432.560,2.345520904,248733,6,804.1,821.4,8.8,5,5,ok,34.6290744,137.1108888,1439.237,54.8,60.7,4.4,-115.4,65.4,-3.70,0.08
2026-06-10T00:00:55.758081800,KX90S,KX90,3650,3900,34.8083252,136.8410337,1188.720,2.767806031,41344,16,23.7,44.2,8.8,21,21,unconfirmed,,,,,,,,,,
2026-06-10T00:00:56.069286700,KX90S,KX90,3256,14300,33.9696096,136.7036638,4358.640,3.252056911,662317,12,1032.2,123.2,8.8,19,19,ok,33.9698124,136.7002892,4363.741,933.5,116.8,8.0,95.1,154.4,-1.35,-0.00
2026-06-10T00:00:56.514707950,KX90S,KX90,6141,32000,34.7045973,136.6377951,9753.600,3.945155326,171554,24,67.0,68.1,8.8,8,8,ok,34.7046778,136.6375440,9753.551,32.2,28.8,4.3,72.3,-195.7,-0.31,-0.01
2026-06-10T00:00:56.671047850,KX90S,KX90,3650,3900,34.8246623,136.7665653,1188.720,4.188428280,41348,23,42.3,29.4,8.8,9,9,ok,34.8246545,136.7664641,1191.619,21.0,15.7,4.3,62.0,-82.3,7.58,-0.02
